board_id,fe_id,channel,tac,tdc,a,b,c,chi2,d,dof
57,0,11,3,1,-0.31412559747695923,-156.02134704589844,336.21783447265625,1566.901611328125,0.3928571343421936,220.0
57,0,12,0,0,-4.105264186859131,-161.3489532470703,370.51483154296875,1782.55029296875,0.3928571343421936,220.0
57,0,12,0,1,-2.1867547035217285,-155.34490966796875,340.5248107910156,1305.639404296875,0.375,220.0
57,0,12,1,0,-4.647495269775391,-160.07919311523438,359.5096740722656,1727.350830078125,0.3930981755256653,220.0
57,0,12,1,1,-2.304320812225342,-153.94908142089844,338.0672912597656,1137.7269287109375,0.3750000596046448,220.0
57,0,12,2,0,-4.644636631011963,-159.3574981689453,358.6753234863281,1633.2977294921875,0.39324241876602173,220.0
57,0,12,2,1,-2.1656482219696045,-154.16134643554688,339.4215393066406,1309.48388671875,0.375,220.0
57,0,12,3,0,-4.4359130859375,-160.48300170898438,359.6706848144531,1727.267333984375,0.3928900361061096,220.0
57,0,12,3,1,-2.10672926902771,-154.67726135253906,338.3863525390625,1314.896484375,0.375,220.0
57,0,13,0,0,-3.699774742126465,-154.54464721679688,351.2840881347656,1700.002197265625,0.41072580218315125,220.0
57,0,13,0,1,-0.9964478015899658,-156.72543334960938,332.44110107421875,1140.904052734375,0.3928571343421936,220.0
57,0,13,1,0,-3.434086561203003,-154.45440673828125,341.7782287597656,1659.328125,0.4107959270477295,220.0
57,0,13,1,1,-0.36382824182510376,-157.37550354003906,331.5704345703125,1177.0181884765625,0.3928571343421936,220.0
57,0,13,2,0,-1.547946572303772,-156.7357940673828,339.21148681640625,1689.3970947265625,0.4107142984867096,220.0
57,0,13,2,1,-1.0824276208877563,-156.6771697998047,330.8772277832031,1043.9913330078125,0.3928571343421936,220.0
57,0,13,3,0,-3.5211496353149414,-155.16282653808594,341.2137145996094,1761.8599853515625,0.4125734865665436,220.0
57,0,13,3,1,-1.205880880355835,-155.48814392089844,330.4598083496094,1096.9132080078125,0.3928571343421936,220.0
57,0,14,0,0,-5.124081134796143,-166.59771728515625,377.9884338378906,1873.6041259765625,0.41072002053260803,220.0
57,0,14,0,1,-2.7065305709838867,-148.01080322265625,321.8616638183594,1621.9544677734375,0.3928821086883545,220.0
57,0,14,1,0,-4.5386199951171875,-167.13319396972656,367.81256103515625,1927.9365234375,0.4096854627132416,220.0
57,0,14,1,1,-2.447622776031494,-148.3144989013672,321.25091552734375,1671.7601318359375,0.39286139607429504,220.0
57,0,14,2,0,-5.137460231781006,-165.6519317626953,366.9020080566406,1941.4169921875,0.4107486605644226,220.0
57,0,14,2,1,-2.503751039505005,-147.79031372070313,323.3729248046875,1636.6558837890625,0.3928571343421936,220.0
57,0,14,3,0,-4.679445266723633,-166.51625061035156,366.3039855957031,1978.5853271484375,0.4122602939605713,220.0
