board_id,fe_id,channel,bl_e,bl_t,dead_time,do_t1_delay,g_e,g_q,g_t,masked,meas_mode,qdc_max_intg_t,qdc_min_intg_t,thr_e,thr_e_bl,thr_t1,thr_t1_bl,thr_t2,thr_t2_bl,trig_b,trig_e,trig_q,trig_t
57,0,59,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,58,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,6,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,56,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,60,5,60,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,47,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,61,5,54,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,47,15,58,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,62,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,55,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,63,6,53,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,59,15,54,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,7,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,44,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,8,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,56,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,9,6,53,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,59,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,32,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,46,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,33,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,57,15,57,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,34,5,55,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,45,15,53,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,35,5,59,0,"3_ns",300,"3_65",3000,0,"qdc",32,32,62,46,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,36,6,52,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,57,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,37,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",30,30,62,58,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,38,5,57,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,45,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,39,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,57,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,40,5,50,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,46,15,57,15,56,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,41,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,44,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,42,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",31,31,62,58,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,43,6,61,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,58,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,44,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,59,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,45,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,58,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,46,6,51,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,60,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,47,5,53,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,45,15,58,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,48,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,58,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,49,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,57,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,50,6,52,0,"3_ns",300,"3_65",3000,0,"qdc",29,29,62,59,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,51,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,56,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,52,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",31,31,62,60,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,53,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,59,15,57,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,54,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",33,33,62,47,15,54,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,55,6,52,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,57,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,56,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,56,15,55,15,60,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,57,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,60,15,58,15,55,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,58,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",32,32,62,59,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,59,6,51,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,59,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,60,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,60,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,61,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,58,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
